"~id","~labels","Address","distance","lan","CaseID","long"
"127","StreetLight","334 NOE ST, SAN FRANCISCO, CA, 94114",0.00909896933282451,37.763725391886005,3695009,-122.42400079755991
"128","StreetLight","Intersection of OCTAVIA ST and MARKET ST",0.02336153457656719,37.77241299164358,3719052,-122.41090305918186
"129","StreetLight","Intersection of BUCHANAN ST and DUBOCE AVE",0.023624200181218136,37.77847959106053,3692964,-122.42424903987086
"130","StreetLight","Intersection of CASTRO ST and 16TH ST",0.015153836420197927,37.7692381362849,3719988,-122.43149350373446
"131","StreetLight","619 NOE ST, SAN FRANCISCO, CA, 94114",0.015705429491224897,37.77062124606634,3686222,-122.42755157306955
"132","StreetLight","Intersection of 17TH ST and MARS ST",0.016186476270888952,37.76847687687213,3701898,-122.43532666156626
"133","StreetLight","Intersection of OCTAVIA ST and MARKET ST",0.024613840362449423,37.77623388109957,3677147,-122.41405459275137
"134","StreetLight","Intersection of MARKET ST and DANVERS ST",0.018910422282929055,37.77079498357693,3654151,-122.43675895776695
"135","StreetLight","209 BERKELEY WAY, SAN FRANCISCO, CA, 94131",0.008682879942475222,37.74750969622064,3622854,-122.43089364722067
"136","StreetLight","473 JERSEY ST, SAN FRANCISCO, CA, 94114",0.0046517011933378104,37.75269595696981,3625746,-122.4304935258345
"137","StreetLight","Intersection of MARKET ST and CASTRO ST",0.016151900121068402,37.76962486370591,3643439,-122.43318874339015
"138","StreetLight","983 CHENERY ST, SAN FRANCISCO, CA, 94131",0.006009875460928303,37.75079142524633,3668841,-122.43076072424029
"139","StreetLight","Intersection of MARKET ST and 16TH ST",0.013330808778559017,37.76817440814227,3643215,-122.42469975973978
"140","StreetLight","Intersection of DOUGLASS ST and MARKET ST",0.01496385046182036,37.76926436033063,3637811,-122.43080840200935
"141","StreetLight","29 HOPKINS AVE, SAN FRANCISCO, CA, 94131",0.005416683208568432,37.75575163467916,3628811,-122.43178573304964
"142","StreetLight","Intersection of OCTAVIA ST and MARKET ST",0.021028886419520536,37.773368521202315,3633621,-122.41626925623291
"143","StreetLight","20 ASHBURY TER, SAN FRANCISCO, CA, 94117",0.022848530735411883,37.77409750655296,3625031,-122.43890420504563
"144","StreetLight","Intersection of MARKET ST and COLLINGWOOD ST",0.013577459691525878,37.76346263238187,3644783,-122.43701012890028
"145","StreetLight","Intersection of CRAGS CT and BERKELEY WAY",0.007601366991780395,37.749384717678275,3622477,-122.4315989395536
"146","StreetLight","2344 MARKET ST, SAN FRANCISCO, CA, 94114",0.007452850220756254,37.76235233155627,3642873,-122.42551108862446
"147","StreetLight","127 GRAYSTONE TER, SAN FRANCISCO, CA, 94114",0.019410134211958256,37.7684177272573,3633363,-122.44041125261421
"148","StreetLight","760 CHURCH ST, SAN FRANCISCO, CA, 94114",0.01558006797807934,37.769291679355696,3643892,-122.42032624035917
"149","StreetLight","548 ELIZABETH ST, SAN FRANCISCO, CA, 94114",0.0008382236104065837,37.755573277939355,3668615,-122.42586062507871
"150","StreetLight","Intersection of BERKELEY WAY and CRAGS CT",0.012920486184544383,37.74339307795915,3631295,-122.43219286689944
"151","StreetLight","271 CHATTANOOGA ST, SAN FRANCISCO, CA, 94114",0.004879671017242146,37.75943460077858,3658585,-122.42449027150896
"152","StreetLight","Intersection of PORTOLA DR and MARKET ST",0.006725223711881876,37.756885169736705,3654136,-122.43287040119462
"153","StreetLight","111 CARL ST, SAN FRANCISCO, CA, 94117",0.027718872838270438,37.77783559081334,3664262,-122.44207590946077
"154","StreetLight","Intersection of 14TH ST and MARKET ST",0.0224685155337357,37.77730244356226,3642859,-122.42408814662154
"155","StreetLight","259 DUNCAN ST, SAN FRANCISCO, CA, 94131",0.003119387167597841,37.7541459682239,3657779,-122.42341543250913
"156","StreetLight","118 CHURCH ST, SAN FRANCISCO, CA, 94114",0.02140428184209712,37.77631100351624,3633285,-122.4249751223657
"157","StreetLight","Intersection of CHULA LN and DOLORES ST",0.013086539873736557,37.76783910258124,3618422,-122.42872672341565
"158","StreetLight","144 GRATTAN ST, SAN FRANCISCO, CA, 94117",0.02219883426124275,37.766979011441116,3647369,-122.44508890616645
"159","StreetLight","Intersection of CARL ST and CLAYTON ST",0.030167970252623317,37.77641835150914,3618696,-122.44762866522238
"160","StreetLight","201 BERKELEY WAY, SAN FRANCISCO, CA, 94131",0.011288396501290843,37.747018845152795,3633415,-122.4344545155075
